Age,P2_5,P10,P25,P50,P75,P90,P97_5
3.0,1177.2822042660462,1553.224325700302,1887.7022425646028,2260.880083694195,2634.0579248237873,2968.535841688088,3344.4779631223437
3.1,1176.1475168529928,1552.0465469192163,1886.4861251399007,2259.621191749755,2632.756258359609,2967.1958365802934,3343.094866646517
3.2,1175.2187627013666,1551.0763951320064,1885.4791416327962,2258.5731150014462,2631.6670883700963,2966.069834870886,3341.927467301526
3.3,1174.5210448941198,1550.3391705445638,1884.7067676306203,2257.7615247101053,2630.81628178959,2965.1838788756468,3341.002004526091
3.4,1174.0785126288472,1549.8591850625862,1884.1934598014275,2257.2110390555067,2630.2286183095857,2964.562893048427,3340.343565482166
3.5,1173.9139376447085,1549.6593377820864,1883.9622305513708,2256.944796864209,2629.927363177047,2964.2302559463315,3339.9756560837095
3.6,1174.0482893289875,1549.7606900537935,1884.034223051599,2256.984032594605,2629.9338421376115,2964.207375135417,3339.919775860223
3.7,1174.5003174586093,1550.1820489724555,1884.4282953928625,2257.3476612338127,2630.267027074763,2964.51327349517,3340.1950050090163
3.8,1175.286151758486,1550.9395683533803,1885.1606228238375,2258.0518819437693,2630.943141063701,2965.1641955341584,3340.8176121290526
3.9,1176.418927431511,1552.0463762278455,1886.2443269951727,2259.10980925624,2631.9752915173076,2966.173242284635,3341.800691080969
4.0,1177.908445531789,1553.512237612075,1887.6891408599765,2260.531140351437,2633.373139842897,2967.5500430907987,3343.153835171085
4.1,1179.7608765206787,1555.3432607863617,1889.5011173756827,2262.3218664629417,2635.1426155502004,2969.300472139522,3344.8828564052046
4.2,1181.9785145806613,1557.5416545746855,1891.6823894223098,2264.4840357399075,2637.2856820575053,2971.4264169051294,3346.9895568991537
4.3,1184.5595892890726,1560.1055431616837,1894.230987415992,2267.0155739807165,2639.8001605454406,2973.925604799749,3349.4715586723605
4.4,1187.4981401025489,1563.0288438501584,1897.1407199785467,2269.9101685515416,2642.6796171245364,2976.7914932529247,3352.3221970005343
4.5,1190.7839578083026,1566.3012118805223,1900.4011217536001,2273.157219545877,2645.9133173381542,2980.013227211232,3355.5304812834515
4.6,1194.4025956974417,1569.9080550393728,1903.997471071532,2276.741860859478,2649.486250647424,2983.5756666795833,3359.081126021514
4.7,1198.3354517468122,1573.830619315398,1907.9108786962722,2280.6450523856774,2653.3792260750824,2987.459485455957,3362.9546530245425
4.8,1202.5599215973334,1578.0461453555235,1912.1184473756784,2284.8437430179997,2657.569038660321,2991.641340680476,3367.127564438666
4.9,1207.0496206250723,1582.528093970608,1916.5935004030332,2289.311102621028,2662.0287048390232,2996.094111271448,3371.572584616984
5.0,1211.774671950696,1587.2464374746355,1921.3058759187284,2294.0168196373447,2666.727763355961,3000.787201800054,3376.2589673239936
5.1,1216.7020558550578,1592.1680122485627,1926.2222822751366,2298.9274595775128,2671.632636879889,3005.686906906463,3381.152863299968
5.2,1221.7960147921974,1597.2569266312855,1931.3067084881213,2304.0068783283928,2676.707048168664,3010.7568300254998,3386.217741864588
5.3,1227.0185070415364,1602.4750170838042,1936.520882636116,2309.2166830457204,2681.9124834553245,3015.9583490076366,3391.4148590499044
5.4,1232.3297010411309,1607.782344573219,1941.8247700686798,2314.516732398326,2687.208694727972,3021.2511202234327,3396.7037637555213
5.5,1237.6885016130261,1613.1377223014279,1947.1771024727268,2319.8656671266554,2692.554231780584,3026.593611951883,3402.0428326402844
5.6,1243.0530986464075,1618.4992652759206,1952.535928233061,2325.221461284416,2697.906994335771,3031.943657292911,3407.3898239224245
5.7,1248.3815283575047,1623.8249517991976,1957.8591741259977,2330.541984160031,2703.2247941940645,3037.2590165208644,3412.702439962557
5.8,1253.6322370065095,1629.0731867468267,1963.1052082069618,2335.7855627286003,2708.465917250239,3042.497938710374,3417.938888450691
5.9,1258.764636926794,1634.2033565150978,1968.2333937958683,2340.91153456367,2713.589675331472,3047.6197126122424,3423.058432200546
6.0,1263.7396449115079,1639.1763657457795,1973.2046247233302,2345.8807814338206,2718.556938144311,3052.5851971218617,3428.0219179561336
6.1,1268.5201934038446,1643.9551463710868,1977.981832466942,2350.656234309425,2723.330636151908,3057.3573222477635,3432.7922752150057
6.2,1273.0717055412663,1648.5051301550127,1982.5304564657724,2355.203341192653,2727.8762259195337,3061.9015522302934,3437.3349768440403
6.3,1277.3625258973009,1652.7946767216595,1986.8188697345083,2359.4904900381,2732.1621103416915,3066.18630335454,3441.618454178899
6.4,1281.3642997285403,1656.7954500366222,1990.8187528842539,2363.4893800283057,2736.160007172358,3070.183310019989,3445.614460328071
6.5,1285.0522946461033,1660.482737419753,1994.5054107698384,2367.1753355819174,2739.8452603939963,3073.8679337440817,3449.2983765177314
6.6,1288.4056598628158,1663.8357063894118,1997.8580271961628,2370.5275586747694,2743.197090153376,3077.219410960127,3452.649457486723
6.7,1291.407619489325,1666.837595939975,2000.8598543997443,2373.529316317669,2746.1987782355936,3080.2210366953627,3455.6510131460127
6.8,1294.0455977315469,1669.4758402047992,2003.4983353464431,2376.168061330922,2748.8377873154004,3082.8602824570444,3458.2905249302967
6.9,1296.3112752443026,1671.7421238242416,2005.7651582225699,2378.435485857068,2751.1058134915666,3085.128847889895,3460.559696469834
7.0,1298.2005772875773,1673.6323696912004,2007.6562438150122,2380.3275083333147,2752.998772851617,3087.022646975429,3462.454439379052
7.1,1299.7135956793118,1675.146661054573,2009.1716677487393,2381.8441958785943,2754.5167240084493,3088.5417307026155,3463.974796077877
7.2,1300.8544478105869,1676.289101195338,2010.3155207508887,2382.989625213693,2755.6637296764975,3089.6901492320485,3465.1248026167996
7.3,1301.6310771567787,1677.0676150245647,2011.0957112157566,2383.7716863051032,2756.44766139445,3090.475757585642,3465.9122954534278
7.4,1302.0550007563659,1677.493697964289,2011.5237153331025,2384.201833885085,2756.879952437067,3090.909969805881,3466.3486670138036
7.5,1302.1410100161402,1677.582118341139,2011.614280894998,2384.294792835254,2756.9753047755103,3091.0074673293693,3466.448575654368
7.6,1301.9068319204682,1677.3505802328013,2011.3850915989215,2384.0682241148406,2756.75135663076,3090.78586799688,3466.2296163092133
7.7,1301.3727582604765,1676.819354246836,2010.856399205288,2383.5423584564537,2756.228317707619,3090.2653626660713,3465.711958652431
7.8,1300.5612508488762,1676.010884072139,2010.0506312781308,2382.739605433576,2755.428579589021,3089.4683267950127,3464.9179600182756
7.9,1299.4965308447781,1674.9493768219252,2008.9919824339459,2381.6841457200844,2754.376309006223,3088.4189146182434,3463.8717605953907
8.0,1298.2041602824324,1673.6603851842524,2007.7059970454302,2380.4015144112072,2753.0970317769843,3087.142643638162,3462.598868539982
8.1,1296.7106236852885,1672.1703892170722,2006.2191511975561,2378.918183159253,2751.6172151209503,3085.6659771014342,3461.1257426332177
8.2,1295.0429172638287,1670.5063852789372,2004.5584413806146,2377.2611486014944,2749.963855822374,3084.0159119240516,3459.47937993916
8.3,1293.2281526583436,1668.6954890875172,2002.7509869399437,2375.4575341306677,2748.1640813213917,3082.219579173818,3457.6869156029916
8.4,1291.2931815162583,1666.7645592632973,2000.823652700001,2373.5342114930177,2746.2447702860345,3080.3038637227382,3455.775241469777
8.5,1289.2642464112514,1664.739846966062,1998.80269745968,2371.517448010411,2744.232198561142,3078.29504905476,3453.7706496095707
8.6,1287.1666627443408,1662.646676390595,1996.7134532376303,2369.4325844306036,2742.151715623577,3076.218492470612,3451.698506116866
8.7,1285.0245353431403,1660.509159981022,1994.5800392544318,2367.3037475346823,2740.0274558149326,3074.0983350883425,3449.5829597262245
8.8,1282.860512523193,1658.349951277286,1992.4251136982068,2365.153600696755,2737.882087695303,3071.957250116224,3447.446688870317
